date,actual_temp,forecast_ensemble,wind_speed,wind_dir,wind_north_component,wind_east_component,wind_advection_warm,wind_advection_cold,wind_advection_neutral,temp_850mb,temp_850mb_change_24hr,airmass_warming,airmass_cooling,airmass_stable
2025-01-01,51.0,50.04717529296879,12.14309808057873,242.75464862096806,-0.4578017843230079,-0.8890542875835368,1,0,0,33.96659667968754,-3.4481140136718764,0,0,1
2025-01-02,43.0,39.63708007812504,14.972432923533812,262.23028354391874,-0.13519189615746638,-0.9908194342125859,0,0,1,15.195411376953167,-17.944573974609376,0,1,0
2025-01-03,39.0,35.872834472656294,13.318703165264989,243.68771040417215,-0.44326347151092893,-0.8963913736890153,1,0,0,11.999873046875042,-3.8910278320312486,0,0,1
2025-01-04,33.0,31.72340820312504,20.809270597001227,284.3580616068676,0.24798085352971783,-0.9687649334501496,0,0,1,6.217109375000042,-8.065393066406248,0,1,0
2025-01-05,33.0,31.93072021484379,17.578582558326683,275.2128178394167,0.09085537071316342,-0.9958640979634589,0,0,1,7.889777832031292,0.05174560546875284,0,0,1
2025-01-06,30.0,29.80321777343754,4.3940503409022345,24.33307968757842,0.9111655371542503,0.41204048818339023,0,1,0,16.155726318359417,7.569305419921875,1,0,0
2025-01-07,33.0,29.75235107421879,23.217574129539635,293.81157118034616,0.4037300689801426,-0.914878151122481,0,1,0,10.39125488281254,-6.059729003906252,0,1,0
2025-01-08,30.0,23.63362548828129,20.270092871422133,285.0250795338113,0.25924182577182814,-0.965812443371118,0,0,1,3.16598632812504,-7.134301757812501,0,1,0
2025-01-09,33.0,28.26568115234379,21.147927685337113,301.8230820239058,0.5272981382150184,-0.8496803360293654,0,1,0,12.36000488281254,9.040924072265625,1,0,0
2025-01-10,39.0,36.337171630859416,9.501817211642575,289.59183121460615,0.33531725513685295,-0.9421052692812447,0,0,1,26.31626708984379,9.36199951171875,1,0,0
2025-01-11,36.0,31.324989013671917,6.360654614117114,309.4426116356274,0.6353050298794738,-0.7722613022868885,0,1,0,15.50978515625004,-13.997955322265625,0,1,0
2025-01-12,42.0,39.50661743164066,6.936107346038476,297.52364489876794,0.46211462672001036,-0.8868202026179971,0,1,0,18.51048095703129,3.6499877929687514,0,0,1
2025-01-13,42.0,40.709400634765665,11.395036828255819,224.13556068415767,-0.7176942404880424,-0.6963583683494382,1,0,0,23.400825195312542,4.438092041015626,0,0,1
2025-01-14,35.0,29.926704101562542,15.958638684416634,278.38525915760664,0.14582850747002044,-0.9893098839135623,0,0,1,5.004163818359416,-16.809576416015624,0,1,0
2025-01-15,32.0,30.36549804687504,17.102914579056975,301.2373085564909,0.5185838760643887,-0.8550267618537064,0,1,0,5.829566650390667,-1.9427124023437479,0,0,1
2025-01-16,30.0,27.597877197265667,9.557972864228773,210.39806382612468,-0.8625307689159241,-0.5060046172450453,1,0,0,11.25302246093754,4.80157470703125,0,0,1
2025-01-17,42.0,37.70073974609379,7.030279526211202,282.3103618819216,0.21320708046262155,-0.9770070321346747,0,0,1,18.176826171875042,4.46539306640625,0,0,1
2025-01-18,46.0,47.99124877929692,15.302519992819008,161.2710816767342,-0.9470483373314441,0.3210910256574408,1,0,0,29.528394775390666,13.190350341796876,1,0,0
2025-01-19,41.0,36.12101562500004,7.930663503287868,20.862594359612572,0.9344371721862018,0.3561280264689296,0,1,0,28.839222412109415,-0.10068969726562571,0,0,1
2025-01-20,26.0,24.888923339843792,11.785009780342373,270.3710265715599,0.006475590028146323,-0.9999790331470892,0,0,1,0.6681347656250409,-25.51102294921875,0,1,0
2025-01-21,19.0,17.58697021484379,10.283404542689931,256.9550975392144,-0.2257145948963981,-0.9741934723917806,0,0,1,-1.7725329589843355,-2.895281982421878,0,0,1
2025-01-22,20.0,17.40789306640629,7.199464395661696,305.03043820377275,0.5740115273553237,-0.8188472180225127,0,1,0,0.8515240478516048,-0.16254272460937358,0,0,1
2025-01-23,28.0,28.03408935546879,6.177662072772337,218.53018460102783,-0.7822800946862547,-0.6229268443867741,1,0,0,13.665400390625042,13.16041259765625,1,0,0
2025-01-24,33.0,30.515296630859417,11.642160100022325,281.06455384882526,0.19191485100915454,-0.9814115803077392,0,0,1,7.069208984375042,-6.27099609375,0,1,0
2025-01-25,33.0,31.54696777343754,8.908087515594836,227.43809324950303,-0.676386424037499,-0.736546947164785,1,0,0,12.639771728515665,4.984552001953123,0,0,1
2025-01-26,43.0,39.15730712890629,18.897869175521066,264.6651978445981,-0.09297538569740581,-0.9956684074803311,0,0,1,16.35705078125004,3.731176757812502,0,0,1
2025-01-27,40.0,37.35000122070316,14.625308630226922,229.16880570222273,-0.6538326479403583,-0.756639193068466,1,0,0,18.25658691406254,-0.12073974609375071,0,0,1
