date,actual_temp,forecast_ensemble,wind_speed,wind_dir,wind_north_component,wind_east_component,wind_advection_warm,wind_advection_cold,wind_advection_neutral,temp_850mb,temp_850mb_change_24hr,airmass_warming,airmass_cooling,airmass_stable
2025-01-01,36.0,31.50609863281254,16.00710222851501,280.1158544425999,0.1756391434395214,-0.9844546161666525,0,0,1,9.80941894531254,-16.562933349609377,0,1,0
2025-01-02,33.0,29.703187255859415,12.123998019937844,262.66337360601347,-0.1276986522773502,-0.9918130137311914,0,0,1,13.947858886718791,3.7629821777343757,0,0,1
2025-01-03,27.0,19.77841308593754,17.002716569720256,300.55401308232183,0.5083504004046515,-0.8611503181259532,0,1,0,0.6447613525391027,-15.788973999023437,0,1,0
2025-01-04,26.0,15.829047851562542,11.376479823911225,278.78593610601706,0.15274325989829923,-0.9882659037706606,0,0,1,10.075507812500042,3.9747436523437507,0,0,1
2025-01-05,30.0,20.20413330078129,10.392697271392251,355.00042161947704,0.9961953394132115,-0.08714841209911106,0,1,0,17.10159423828129,6.268688964843751,1,0,0
2025-01-06,32.0,30.106605224609417,30.98067231314363,15.317590684333496,0.9644763599209925,0.2641691714669828,0,1,0,8.13949707031254,-9.147821044921876,0,1,0
2025-01-07,28.0,22.97136962890629,10.215092278336824,321.5648551407832,0.7833123019005482,-0.6216283758736119,0,1,0,14.645270996093792,4.604425048828126,0,0,1
2025-01-08,28.0,20.39024169921879,11.476880632445258,296.96123999456177,0.45338763915597874,-0.8913134401884492,0,1,0,7.576228027343792,-9.15216064453125,0,1,0
2025-01-09,29.0,24.327247314453167,14.83711881893816,190.7657151921,-0.9823992006143366,-0.1867934972966471,1,0,0,26.88667724609379,20.41094970703125,1,0,0
2025-01-10,30.0,28.63877685546879,12.407661782529308,230.33124963657286,-0.6383480850499044,-0.7697478303399887,1,0,0,18.44676025390629,-3.6242248535156243,0,0,1
2025-01-11,33.0,29.47472656250004,7.307869427878619,257.2243496003649,-0.22113405797199936,-0.9752434200776934,0,0,1,11.496589355468792,-6.868762207031249,0,1,0
2025-01-12,36.0,31.89171875000004,13.592278680435298,200.96498024144728,-0.9337992902078145,-0.35779726886518004,1,0,0,25.49833496093754,11.906597900390626,1,0,0
2025-01-13,21.0,17.87217529296879,16.065687730132385,265.61978795186656,-0.07637467652193076,-0.9970791888241226,0,0,1,4.611182861328167,-20.327069091796872,0,1,0
2025-01-14,18.0,15.694575195312542,15.541835572019597,294.10017938598423,0.40833331835005265,-0.9128328987965073,0,1,0,3.4565197753906673,-3.481732177734372,0,0,1
2025-01-15,20.0,20.01275146484379,14.838028014552364,229.3035635698743,-0.6520512496251802,-0.7581748926614761,1,0,0,14.69844482421879,17.74459533691406,1,0,0
2025-01-16,39.0,31.282801513671917,11.30542229993163,308.7457141767602,0.6258651337270426,-0.7799313010674922,0,1,0,17.832569580078165,2.720654296874997,0,0,1
