date,actual_temp,forecast_ensemble,wind_speed,wind_dir,wind_north_component,wind_east_component,wind_advection_warm,wind_advection_cold,wind_advection_neutral,temp_850mb,temp_850mb_change_24hr,airmass_warming,airmass_cooling,airmass_stable
2025-01-01,81.0,72.43467529296879,5.792412055361449,311.1067897214141,0.6574645406962731,-0.7534854860759023,0,1,0,56.354096679687544,-2.210614013671872,0,0,1
2025-01-02,78.0,75.86208007812505,7.614231478490659,33.292218626598064,0.8358819167707547,0.5489093014475607,0,1,0,52.657911376953166,-3.9945739746093736,0,0,1
2025-01-03,77.0,75.36033447265629,2.305093841046484,276.1776670608812,0.10761184404901576,-0.9941929847974036,0,0,1,49.91237304687504,-2.99102783203125,0,0,1
2025-01-04,72.0,69.18590820312504,11.850954772644897,14.911578320850188,0.9663240982413599,0.2573280730080236,0,1,0,49.64210937500004,-0.6403930664062543,0,0,1
2025-01-05,75.0,71.5307202148438,9.50821416942392,85.42608489109836,0.07974511526959724,0.9968152870971826,0,0,1,45.35227783203129,-7.260754394531247,0,1,0
2025-01-06,80.0,72.55321777343754,8.635351344353941,196.02500860551805,-0.9611412934895418,-0.2760569034624031,1,0,0,49.793226318359416,0.4818054199218764,0,0,1
2025-01-07,71.0,56.07735107421879,15.138374487672849,312.42391788773045,0.6746105939700879,-0.7381737915310495,0,1,0,55.503754882812544,4.740270996093756,0,0,1
2025-01-08,72.0,61.65862548828129,11.102659361631098,305.0323378794875,0.5740386764073145,-0.8188281858781722,0,1,0,45.12848632812504,-13.434301757812499,0,1,0
2025-01-09,67.0,59.76568115234379,11.853585554434414,329.1134587500996,0.85818551263407,-0.5133396788725751,0,1,0,47.23500488281254,0.3784240722656236,0,0,1
2025-01-10,73.0,71.32467163085941,11.012312670704418,131.51969787974508,-0.6628774946791411,0.7487278724930074,1,0,0,49.266267089843794,-0.4255004882812443,0,0,1
2025-01-11,77.0,76.66248901367192,12.73224902625408,219.66973328976525,-0.7697368791732384,-0.6383612902116194,1,0,0,54.997285156250044,1.8645446777343793,0,0,1
2025-01-12,75.0,68.98161743164067,5.4190100866316,348.09559613047196,0.978493132940531,-0.20627939496766132,0,1,0,53.835480957031294,-3.1000122070312486,0,0,1
