date,actual,hrrr_forecast,ensemble_v9,ensemble_v10,ensemble_v11
2025-11-03,59.0,,64.63333333333334,60.53333333333334,59.54525730806383
2025-11-04,59.0,,64.23333333333333,60.97333333333333,59.84898813504635
2025-11-05,66.0,,63.46666666666667,61.02666666666667,60.04379178748472
2025-11-06,57.0,,62.63333333333333,60.21333333333333,59.799977378966844
2025-11-07,61.0,,62.166666666666664,60.986666666666665,61.15116528636122
2025-11-08,65.0,,61.4,60.56,60.2499034957839
2025-11-09,63.0,,61.03333333333333,60.65333333333333,60.54397597003565
2025-11-10,59.0,,61.233333333333334,61.45333333333333,61.55075799098832
2025-11-11,41.0,,61.266666666666666,61.946666666666665,62.019259698746275
2025-11-12,50.0,,61.1,61.040000000000006,61.29156513921613
2025-11-13,51.0,,60.36666666666667,58.82666666666667,58.1212905819316
2025-11-14,51.0,,60.1,57.400000000000006,56.49106483447769
2025-11-15,50.0,,59.766666666666666,55.58666666666666,55.316422425124756
2025-11-16,56.0,,59.2,53.92,53.85292456394967
2025-11-17,44.0,,58.833333333333336,52.693333333333335,52.362231330781015
2025-11-18,45.0,,58.6,54.400000000000006,53.31036977660888
2025-11-19,47.0,,57.9,53.4,51.497703649663386
2025-11-20,47.0,,57.06666666666667,52.346666666666664,51.023074691844805
2025-11-21,52.0,,56.36666666666667,51.586666666666666,50.45476547503123
2025-11-22,52.0,,55.733333333333334,50.97333333333333,50.00518835393228
2025-11-23,49.0,,55.4,50.36,49.830922431508824
2025-11-24,52.0,,55.13333333333333,51.21333333333334,50.54726098532919
2025-11-25,58.0,,54.8,51.56,50.32484375221102
2025-11-26,59.0,,54.6,52.08,51.003248590744704
2025-11-27,49.0,,54.56666666666667,53.38666666666667,52.62554418514997
2025-11-28,43.0,,54.7,54.28,53.912307824112276
2025-11-29,42.0,,54.53333333333333,53.85333333333333,53.39024199887531
2025-11-30,47.0,,54.1,52.96,52.02670271898462
2025-12-01,43.0,,53.4,51.480000000000004,50.48536189869925
