date,actual,persistence,climatology,moving_avg,ensemble_v9,ensemble_v10,ensemble_v11
2025-09-04,77.0,79.0,82.03333333333333,77.57142857142857,82.60833333333333,79.61333333333333,79.67792190833738
2025-09-05,82.0,79.0,81.7,78.14285714285714,81.97500000000001,79.6,79.86892097710971
2025-09-06,86.0,77.0,81.4,78.0,81.575,79.6,79.61317355877802
2025-09-07,69.0,82.0,81.5,78.57142857142857,81.9,80.0,80.0802237129123
2025-09-08,73.0,86.0,81.66666666666667,80.0,82.54166666666667,81.02666666666667,80.94093109100052
2025-09-09,73.0,69.0,81.23333333333333,78.57142857142857,81.45833333333333,79.65333333333334,79.65782026099737
2025-09-10,73.0,73.0,80.83333333333333,77.85714285714286,79.85833333333333,78.77333333333334,79.10159498557915
2025-09-11,79.0,73.0,80.26666666666667,77.0,77.46666666666667,78.06666666666666,78.54253725131841
2025-09-12,78.0,73.0,79.73333333333333,76.14285714285714,78.08333333333333,76.77333333333333,77.7188021273643
2025-09-13,77.0,79.0,79.33333333333333,76.42857142857143,78.58333333333333,75.77333333333334,78.2084529766087
2025-09-14,81.0,78.0,78.96666666666667,75.85714285714286,79.39166666666667,76.70666666666666,77.90300973160717
2025-09-15,79.0,77.0,78.56666666666666,74.57142857142857,80.36666666666666,77.02666666666667,76.79442149377817
2025-09-16,74.0,81.0,78.3,76.28571428571429,79.55,77.88,78.01337237329808
2025-09-17,70.0,79.0,78.13333333333334,77.14285714285714,79.10833333333333,78.53333333333333,78.32388560459746
2025-09-18,83.0,74.0,77.56666666666666,77.28571428571429,77.94166666666666,77.70666666666666,77.91901664656018
2025-09-19,84.0,70.0,77.4,76.85714285714286,76.075,76.68,77.41045377208478
2025-09-20,73.0,83.0,77.6,77.42857142857143,76.675,77.48,78.33539191576612
2025-09-21,71.0,84.0,78.06666666666666,78.28571428571429,78.44166666666666,78.02666666666667,79.08725588433447
2025-09-22,73.0,73.0,78.1,77.71428571428571,79.3,77.32,78.4588217657206
2025-09-23,83.0,71.0,77.7,76.28571428571429,77.55,76.8,77.3589982158149
2025-09-24,80.0,73.0,77.4,75.42857142857143,75.775,77.04,76.57267986541187
2025-09-25,77.0,83.0,77.5,76.71428571428571,76.95,77.08,77.86091788566748
2025-09-26,82.0,80.0,77.3,78.14285714285714,77.575,76.52000000000001,78.64283369048361
2025-09-27,79.0,77.0,77.23333333333333,77.28571428571429,78.65833333333333,76.97333333333333,78.21929834718046
2025-09-28,83.0,82.0,77.46666666666667,77.0,78.86666666666667,78.38666666666667,78.20851626707459
2025-09-29,78.0,79.0,77.5,77.85714285714286,78.275,79.12,78.46430099566983
2025-09-30,81.0,83.0,77.66666666666667,79.57142857142857,78.59166666666667,79.18666666666667,79.41975486797907
2025-10-01,69.0,78.0,77.73333333333333,80.28571428571429,77.58333333333333,78.97333333333333,79.5839418407126
2025-10-02,66.0,81.0,77.8,80.0,78.15,79.47999999999999,79.54546087050177
2025-10-03,71.0,69.0,77.5,78.42857142857143,76.225,77.8,78.33742095759763
2025-10-04,82.0,66.0,77.06666666666666,76.85714285714286,74.51666666666667,76.06666666666666,76.97655677785711
2025-10-05,84.0,71.0,76.8,75.28571428571429,73.325,74.52,75.97917264241823
2025-10-06,80.0,82.0,76.96666666666667,75.71428571428571,75.54166666666667,75.06666666666666,77.04308703584331
2025-10-07,80.0,84.0,77.03333333333333,75.85714285714286,78.68333333333334,75.45333333333333,77.52370021438198
2025-10-08,72.0,80.0,76.83333333333333,76.14285714285714,79.90833333333333,76.69333333333333,77.56433410812434
