date,actual,hrrr_forecast,ensemble_v9,ensemble_v10,ensemble_v11
2025-07-29,93.0,,87.33333333333333,88.81333333333333,86.72843331082271
2025-07-30,82.0,,87.56666666666666,88.78666666666666,86.90838440516036
2025-07-31,78.0,,87.56666666666666,88.42666666666666,86.82252290391673
2025-08-01,77.0,,87.26666666666667,88.06666666666666,86.22304573932854
2025-08-02,79.0,,86.93333333333334,87.09333333333333,85.26055343678979
2025-08-03,80.0,,86.46666666666667,85.34666666666666,84.06465380377828
2025-08-04,82.0,,86.03333333333333,83.49333333333334,82.88782459468895
2025-08-05,84.0,,85.63333333333334,81.77333333333334,81.7977005508445
2025-08-06,89.0,,85.23333333333333,81.61333333333334,81.61748682941196
2025-08-07,91.0,,85.1,82.28,81.8504729833127
2025-08-08,93.0,,85.33333333333333,83.81333333333333,83.03474374199016
2025-08-09,94.0,,85.53333333333333,85.33333333333333,84.24280437715257
2025-08-10,92.0,,85.83333333333333,87.01333333333334,85.51436237851853
2025-08-11,89.0,,86.16666666666667,88.58666666666667,86.64942775590438
2025-08-12,88.0,,86.2,89.56,87.32092512555289
2025-08-13,85.0,,86.36666666666666,89.62666666666667,87.33361112607876
2025-08-14,84.0,,86.5,89.32,87.12244234721886
2025-08-15,92.0,,86.43333333333334,88.33333333333334,86.43344895314509
2025-08-16,96.0,,86.16666666666667,87.02666666666667,85.55160136040968
2025-08-17,84.0,,86.16666666666667,87.02666666666667,85.736099946335
2025-08-18,88.0,,86.86666666666666,88.14666666666666,86.58029219047083
2025-08-19,80.0,,86.96666666666667,87.70666666666668,85.99042664734537
2025-08-20,77.0,,87.06666666666666,88.10666666666665,86.23119704184458
2025-08-21,78.0,,87.1,87.63999999999999,85.7280866304082
2025-08-22,82.0,,86.9,85.76,84.37615072278892
2025-08-23,86.0,,86.56666666666666,83.46666666666667,82.8882361987736
2025-08-24,75.0,,86.16666666666667,83.06666666666666,82.66924184878404
2025-08-25,72.0,,85.83333333333333,82.69333333333333,82.42670390798023
2025-08-26,75.0,,85.53333333333333,81.97333333333333,81.61796378949259
