date,actual_temp,last_price,volume
2022-05-18,73.0,99,8169
2022-05-19,88.5,95,3100
2022-05-20,88.5,99,3712
2022-05-21,63.5,99,2090
2022-05-22,65.5,99,1679
2022-05-23,63.5,98,2366
2022-05-24,68.5,98,2137
2022-05-25,82.5,99,3370
2022-05-26,77.0,99,3462
2022-05-27,65.5,93,1019
2022-05-28,76.5,99,1286
2022-05-29,88.0,98,1979
2022-05-30,91.5,99,692
2022-05-31,89.5,99,1121
2022-06-01,74.0,99,4138
2022-06-02,78.5,99,6146
2022-06-03,82.5,97,1598
2022-06-04,79.0,98,2029
2022-06-05,81.5,99,4477
2022-06-06,75.5,97,3441
2022-06-07,71.5,99,1775
2022-06-08,68.0,99,10876
2022-06-09,80.5,99,1609
2022-06-10,74.0,99,2849
2022-06-11,80.0,97,4589
2022-06-12,73.5,99,2410
2022-06-13,89.0,99,6330
2022-06-14,100.5,99,1376
2022-06-15,100.5,96,5253
2022-06-16,97.5,99,3778
2022-06-17,87.5,1,3228
2022-06-18,70.0,99,1907
2022-06-19,87.5,99,3695
2022-06-20,96.5,99,1589
2022-06-21,100.5,99,1304
2022-06-22,91.5,93,2594
2022-06-23,86.0,98,4099
2022-06-24,93.5,99,1629
2022-06-25,93.0,98,4746
2022-06-26,83.5,94,1970
2022-06-27,80.5,90,2808
2022-06-28,87.5,96,6294
2022-06-29,89.5,99,5469
2022-06-30,94.5,97,4270
2022-07-01,83.0,97,10775
2022-07-02,86.5,99,1336
2022-07-03,90.0,99,3200
2022-07-04,92.0,98,2993
2022-07-05,99.0,99,2604
2022-07-06,81.5,99,2723
2022-07-07,81.0,99,2600
2022-07-08,80.0,99,5379
2022-07-09,79.5,91,1368
2022-07-10,87.5,96,2783
2022-07-11,91.0,99,2440
2022-07-12,88.5,93,2498
2022-07-13,82.0,99,4055
2022-07-14,81.5,99,1119
2022-07-15,80.0,99,2027
2022-07-16,83.0,98,3449
2022-07-17,81.0,98,1958
2022-07-18,90.5,99,1028
2022-07-19,91.5,97,1217
2022-07-20,89.5,91,1204
2022-07-21,93.5,99,1306
2022-07-22,91.5,67,2092
2022-07-23,94.0,98,3953
2022-07-24,88.5,95,1492
2022-07-25,78.0,99,874
2022-07-26,82.0,99,8871
2022-07-27,86.0,99,2437
2022-07-28,82.5,99,1596
2022-07-29,83.5,99,2249
2022-07-30,84.5,99,1884
2022-07-31,85.5,99,3081
2022-08-01,88.5,98,1222
2022-08-02,90.0,99,2402
2022-08-03,94.5,99,1618
2022-08-04,81.0,99,2749
2022-08-05,87.5,99,1416
2022-08-06,94.5,99,1226
2022-08-07,89.0,99,2545
2022-08-08,84.5,99,2225
2022-08-09,77.5,98,4189
2022-08-10,86.5,99,2986
2022-08-11,79.5,99,5348
2022-08-12,80.5,99,6504
2022-08-13,81.0,97,4192
2022-08-14,79.0,99,1850
2022-08-15,80.0,99,4095
2022-08-16,82.0,99,2335
2022-08-17,83.0,99,6399
2022-08-18,85.5,97,3495
2022-08-19,88.5,96,3313
2022-08-20,78.0,99,3089
2022-08-21,78.0,99,1832
2022-08-22,82.0,99,1071
2022-08-23,85.5,99,1270
2022-08-24,86.5,99,1665
2022-08-25,82.5,97,3079
2022-08-26,79.0,99,2338
2022-08-27,84.5,99,2962
2022-08-28,91.0,96,6267
2022-08-29,87.5,99,3475
2022-08-30,82.5,97,2390
2022-08-31,87.5,97,1536
2022-09-01,89.5,99,4249
2022-09-02,88.5,99,1845
2022-09-03,88.0,99,5528
2022-09-04,75.5,99,872
2022-09-05,75.0,99,2379
2022-09-06,81.5,99,2876
2022-09-07,81.0,98,3684
2022-09-08,85.5,99,2902
2022-09-09,87.5,96,3808
2022-09-10,86.5,98,12151
2022-09-11,74.5,94,2312
2022-09-12,68.5,97,6400
2022-09-13,79.0,99,7334
2022-09-14,81.5,99,2606
2022-09-15,85.0,99,3868
2022-09-16,85.5,99,1159
2022-09-17,87.5,85,1062
2022-09-18,86.0,99,2961
2022-09-19,79.5,99,1367
2022-09-20,93.0,99,3340
2022-09-21,85.0,99,3319
2022-09-22,66.5,98,4226
2022-09-23,66.0,73,2878
2022-09-24,76.0,99,2883
2022-09-25,69.5,99,1348
2022-09-26,64.5,99,2397
2022-09-27,62.0,99,8723
2022-09-28,62.5,99,2884
2022-09-29,64.5,99,3093
2022-09-30,66.5,99,2370
2022-10-01,69.5,99,2628
2022-10-02,68.5,99,6160
2022-10-03,69.5,99,4437
2022-10-04,75.0,99,6505
2022-10-05,77.5,99,3267
2022-10-06,76.0,99,3934
2022-10-07,57.0,99,3025
2022-10-08,60.5,99,1666
2022-10-09,71.5,99,1819
2022-10-10,74.0,99,3658
2022-10-11,71.5,99,2861
2022-10-12,66.0,99,3399
2022-10-13,58.0,99,1781
2022-10-14,62.5,99,1819
2022-10-15,55.0,99,3172
2022-10-16,56.5,99,2146
2022-10-17,44.5,99,3550
2022-10-18,50.0,95,7001
2022-10-19,50.5,99,2782
2022-10-20,63.0,99,4598
2022-10-21,78.0,99,2451
2022-10-22,81.5,99,2455
2022-10-23,81.5,99,2548
2022-10-24,79.5,97,5194
2022-10-25,70.5,98,1821
2022-10-26,56.5,99,1942
2022-10-27,55.0,99,1973
2022-10-28,60.5,95,1936
2022-10-29,67.5,99,2390
2022-10-30,67.0,99,2126
2022-10-31,61.0,99,1331
2022-11-01,70.5,99,2001
2022-11-02,74.5,89,1202
2022-11-03,74.5,99,1776
2022-11-04,76.0,99,5009
2022-11-05,69.0,99,16824
2022-11-06,64.5,99,1422
2022-11-07,57.0,99,2912
2022-11-08,58.0,99,3786
2022-11-09,70.5,99,1411
2022-11-10,75.5,99,1781
2022-11-11,59.5,99,9477
2022-11-12,38.0,98,4660
2022-11-13,39.0,95,3295
2022-11-14,42.0,95,6382
2022-11-15,38.0,99,5110
2022-11-16,36.0,95,3918
2022-11-17,34.5,99,2097
2022-11-18,30.0,99,6914
2022-11-19,28.0,99,3965
2022-11-20,32.5,99,4291
2022-11-21,46.0,99,2631
2022-11-22,52.0,99,8257
2022-11-23,59.0,99,12800
2022-11-24,52.5,99,12746
2022-11-25,51.5,99,3806
2022-11-26,56.0,99,2814
2022-11-27,46.5,99,1860
2022-11-28,46.0,90,3105
2022-11-29,59.5,99,2732
2022-11-30,35.0,99,5377
2022-12-01,36.5,18,1375
2022-12-02,52.5,99,4042
2022-12-03,52.0,91,5657
2022-12-04,39.5,99,1786
2022-12-05,44.5,99,2540
2022-12-06,44.5,99,2755
2022-12-07,43.0,99,5641
2022-12-08,41.5,99,2180
