date,actual,hrrr_forecast,ensemble_v9,ensemble_v10,ensemble_v11
2025-11-03,87.0,,86.2,84.03999999999999,84.36577685068015
2025-11-04,81.0,,86.06666666666666,83.38666666666666,83.89441091493933
2025-11-05,83.0,,86.03333333333333,83.37333333333333,83.91364123739285
2025-11-06,84.0,,85.8,83.52,83.68741901025777
2025-11-07,87.0,,85.6,84.28,83.971762046784
2025-11-08,87.0,,85.43333333333334,84.45333333333333,84.2852079565427
2025-11-09,87.0,,85.36666666666666,84.78666666666666,84.83450976308794
2025-11-10,85.0,,85.3,84.75999999999999,84.97361706106622
2025-11-11,68.0,,85.53333333333333,85.57333333333332,85.56035582030202
2025-11-12,76.0,,85.5,85.80000000000001,85.61328470946613
2025-11-13,78.0,,84.83333333333333,83.61333333333333,83.72726702805687
2025-11-14,81.0,,84.43333333333334,82.13333333333333,82.4294492481711
2025-11-15,81.0,,84.16666666666667,80.94666666666666,81.46363543328222
2025-11-16,82.0,,84.0,80.16,80.83350490101043
2025-11-17,82.0,,83.83333333333333,79.61333333333333,80.33351023872336
2025-11-18,83.0,,83.73333333333333,81.25333333333333,81.22827036347972
2025-11-19,84.0,,83.63333333333334,81.93333333333334,81.56195630099228
2025-11-20,84.0,,83.53333333333333,82.49333333333334,82.52813150572388
2025-11-21,83.0,,83.4,82.80000000000001,83.01980535456528
2025-11-22,83.0,,83.3,83.12,83.42553582720402
2025-11-23,85.0,,83.13333333333334,83.17333333333335,83.51439148754662
2025-11-24,84.0,,82.96666666666667,83.22666666666666,83.60927517466077
2025-11-25,83.0,,82.9,83.44,83.85300638629977
2025-11-26,85.0,,82.86666666666666,83.42666666666666,83.9016383249608
2025-11-27,85.0,,82.73333333333333,83.25333333333333,83.79425519226808
2025-11-28,75.0,,82.66666666666667,83.46666666666667,83.96860802253374
2025-11-29,78.0,,82.53333333333333,83.65333333333334,84.10981947214941
2025-11-30,81.0,,82.13333333333334,82.29333333333335,83.04395868685035
2025-12-01,84.0,,82.1,81.56,82.41991148194487
