Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Team,Season
"Thursday, Mar 28",ARI,@,LAD,L,5.0,12.0,9.0,0-1,4.0,1.0,Ryu,Greinke,None,2:49,D,53086.0,1.08,-1,,ARI,2019
"Friday, Mar 29",ARI,@,LAD,W,5.0,4.0,13.0,1-1,3.0,1.0,Andriese,García,Holland,6:05,N,42266.0,.99,1,,ARI,2019
"Saturday, Mar 30",ARI,@,LAD,L,5.0,18.0,9.0,1-2,4.0,1.0,Maeda,Godley,None,3:14,N,50626.0,1.06,-1,,ARI,2019
"Sunday, Mar 31",ARI,@,LAD,L,7.0,8.0,9.0,1-3,4.0,2.0,Floro,Hirano,Jansen,3:29,D,43815.0,1.04,-2,,ARI,2019
"Monday, Apr 1",ARI,@,SDP,W,10.0,3.0,9.0,2-3,3.0,1.0,Kelly,Strahm,Duplantier,3:04,N,18683.0,.98,1,,ARI,2019
"Tuesday, Apr 2",ARI,@,SDP,W,8.0,5.0,9.0,3-3,2.0,1.0,Greinke,Lauer,Holland,3:21,N,22504.0,1.05,2,,ARI,2019
"Wednesday, Apr 3",ARI,@,SDP,L,1.0,4.0,9.0,3-4,3.0,2.0,Lucchesi,Ray,None,2:59,D,19376.0,1.14,-1,,ARI,2019
"Friday, Apr 5",ARI,Home,BOS,W,15.0,8.0,9.0,4-4,3.0,2.0,Godley,Porcello,None,3:23,D,48338.0,.91,1,,ARI,2019
"Saturday, Apr 6",ARI,Home,BOS,W-wo,5.0,4.0,9.0,5-4,3.0,2.0,Holland,Brewer,None,3:19,N,35969.0,.94,2,,ARI,2019
"Sunday, Apr 7",ARI,Home,BOS,L,0.0,1.0,9.0,5-5,3.0,3.0,Walden,Kelly,Brasier,2:29,D,31565.0,.98,-1,,ARI,2019
"Tuesday, Apr 9",ARI,Home,TEX,W-wo,5.0,4.0,9.0,6-5,3.0,1.5,Andriese,Leclerc,None,2:48,N,16620.0,.96,1,,ARI,2019
"Wednesday, Apr 10",ARI,Home,TEX,L,2.0,5.0,9.0,6-6,3.0,1.5,Lynn,Chafin,Bird,3:35,N,15871.0,.98,-1,,ARI,2019
"Thursday, Apr 11",ARI,Home,SDP,L,6.0,7.0,9.0,6-7,3.0,2.5,Stammen,Bradley,Wingenter,3:13,N,15449.0,1.16,-2,,ARI,2019
"Friday, Apr 12",ARI,Home,SDP,L,1.0,2.0,9.0,6-8,3.0,3.5,Reyes,Weaver,Yates,2:38,N,22209.0,1.11,-3,,ARI,2019
"Saturday, Apr 13",ARI,Home,SDP,L,4.0,5.0,9.0,6-9,4.0,4.5,Stammen,Andriese,Yates,3:41,N,27256.0,1.08,-4,,ARI,2019
"Sunday, Apr 14",ARI,Home,SDP,W,8.0,4.0,9.0,7-9,3.0,3.5,Greinke,Lauer,None,2:49,D,25489.0,1.02,1,,ARI,2019
"Tuesday, Apr 16",ARI,@,ATL,W,9.0,6.0,9.0,8-9,3.0,2.0,Hirano,Minter,Holland,3:36,N,22407.0,.92,2,,ARI,2019
"Wednesday, Apr 17",ARI,@,ATL,W,3.0,2.0,10.0,9-9,3.0,2.0,Bradley,Biddle,Holland,3:32,N,22356.0,.96,3,,ARI,2019
"Thursday, Apr 18",ARI,@,ATL,W,4.0,1.0,9.0,10-9,3.0,2.0,Weaver,Soroka,Hirano,3:25,D,24193.0,.97,4,,ARI,2019
"Friday, Apr 19",ARI,@,CHC,L,1.0,5.0,9.0,10-10,3.0,3.0,Hendricks,Kelly,Strop,3:24,D,33938.0,1.00,-1,,ARI,2019
"Saturday, Apr 20",ARI,@,CHC,W,6.0,0.0,9.0,11-10,2.0,2.0,Greinke,Darvish,Clarke,3:08,D,37667.0,.99,1,,ARI,2019
"Sunday, Apr 21",ARI,@,CHC,L-wo,1.0,2.0,9.0,11-11,3.0,3.0,Strop,Bradley,None,2:28,D,38181.0,1.09,-1,,ARI,2019
"Monday, Apr 22",ARI,@,PIT,W,12.0,4.0,9.0,12-11,2.0,2.5,Andriese,Crick,None,3:35,N,9233.0,1.02,1,,ARI,2019
"Tuesday, Apr 23",ARI,@,PIT,W,2.0,1.0,9.0,13-11,2.0,1.5,Weaver,Williams,Holland,2:53,N,8558.0,1.08,2,,ARI,2019
"Wednesday, Apr 24",ARI,@,PIT,W,11.0,2.0,9.0,14-11,2.0,0.5,Kelly,Lyles,None,2:49,N,9450.0,1.10,3,,ARI,2019
"Thursday, Apr 25",ARI,@,PIT,W,5.0,0.0,9.0,15-11,2.0,0.5,Greinke,Taillon,None,2:41,D,9365.0,1.14,4,,ARI,2019
"Friday, Apr 26",ARI,Home,CHC,W,8.0,3.0,9.0,16-11,2.0,0.5,Ray,Hendricks,Andriese,3:04,N,30664.0,1.21,5,,ARI,2019
"Saturday, Apr 27",ARI,Home,CHC,L,1.0,9.0,9.0,16-12,3.0,1.5,Darvish,Godley,None,3:05,N,27793.0,1.19,-1,,ARI,2019
"Sunday, Apr 28",ARI,Home,CHC,L,5.0,6.0,15.0,16-13,3.0,2.5,Chatwood,Andriese,Webster,5:36,D,29477.0,1.16,-2,,ARI,2019
"Tuesday, Apr 30",ARI,Home,NYY,W,3.0,1.0,9.0,17-13,2.0,2.0,Greinke,Sabathia,Holland,2:33,N,36352.0,1.08,1,,ARI,2019
"Wednesday, May 1",ARI,Home,NYY,W,3.0,2.0,9.0,18-13,2.0,1.0,Kelly,Tanaka,Holland,3:12,D,31365.0,1.12,2,,ARI,2019
"Friday, May 3",ARI,@,COL,W,10.0,9.0,9.0,19-13,2.0,1.0,Ray,Anderson,Holland,3:24,N,29574.0,1.32,3,,ARI,2019
"Saturday, May 4",ARI,@,COL,W,9.0,2.0,9.0,20-13,2.0,1.0,Weaver,Freeland,None,2:51,N,37765.0,1.32,4,,ARI,2019
"Sunday, May 5",ARI,@,COL,L,7.0,8.0,9.0,20-14,2.0,1.0,Oberg,Bradley,Davis,3:09,D,40262.0,1.31,-1,,ARI,2019
"Monday, May 6",ARI,@,TBR,L,1.0,12.0,9.0,20-15,2.0,2.0,Snell,Kelly,None,2:54,N,8124.0,1.18,-2,,ARI,2019
"Tuesday, May 7",ARI,@,TBR,L,3.0,6.0,9.0,20-16,2.0,3.0,Beeks,Clarke,None,3:19,N,8059.0,1.18,-3,,ARI,2019
"Wednesday, May 8",ARI,@,TBR,W,3.0,2.0,13.0,21-16,2.0,3.0,Bradley,Kolarek,Godley,4:39,D,8663.0,1.14,1,,ARI,2019
"Thursday, May 9",ARI,Home,ATL,W-wo,3.0,2.0,10.0,22-16,2.0,2.0,Duplantier,Minter,None,3:13,N,17751.0,1.17,2,,ARI,2019
"Friday, May 10",ARI,Home,ATL,L,1.0,2.0,9.0,22-17,2.0,3.0,Winkler,López,Jackson,3:00,N,21932.0,1.23,-1,,ARI,2019
"Saturday, May 11",ARI,Home,ATL,L,4.0,6.0,9.0,22-18,2.0,3.0,Gausman,Kelly,Venters,3:09,N,33168.0,1.16,-2,,ARI,2019
"Sunday, May 12",ARI,Home,ATL,L,3.0,5.0,9.0,22-19,2.0,4.0,Fried,Godley,Jackson,3:21,D,27460.0,1.15,-3,,ARI,2019
"Monday, May 13",ARI,Home,PIT,W,9.0,3.0,9.0,23-19,2.0,3.5,Ray,Kingham,None,3:27,N,15418.0,1.14,1,,ARI,2019
"Tuesday, May 14",ARI,Home,PIT,L,2.0,6.0,9.0,23-20,2.0,4.5,Musgrove,Weaver,None,2:45,N,21047.0,1.19,-1,,ARI,2019
"Wednesday, May 15",ARI,Home,PIT,W,11.0,1.0,9.0,24-20,2.0,4.5,Greinke,Archer,None,2:58,D,17258.0,1.11,1,,ARI,2019
"Friday, May 17",ARI,Home,SFG,W,7.0,0.0,9.0,25-20,2.0,4.5,Kelly,Samardzija,None,3:06,N,26806.0,1.14,2,,ARI,2019
"Saturday, May 18",ARI,Home,SFG,L,5.0,8.0,9.0,25-21,2.0,4.5,Bumgarner,Godley,None,3:24,N,25014.0,1.21,-1,,ARI,2019
"Sunday, May 19",ARI,Home,SFG,L,2.0,3.0,10.0,25-22,2.0,5.5,Dyson,Hirano,Smith,3:28,D,24061.0,1.21,-2,,ARI,2019
"Monday, May 20",ARI,@,SDP,L,1.0,2.0,9.0,25-23,2.0,6.0,Paddack,Weaver,Yates,2:40,N,17578.0,1.18,-3,,ARI,2019
"Tuesday, May 21",ARI,@,SDP,L,2.0,3.0,9.0,25-24,2.0,7.0,Strahm,Greinke,Yates,2:21,N,19969.0,1.15,-4,,ARI,2019
"Wednesday, May 22",ARI,@,SDP,L,2.0,5.0,9.0,25-25,3.0,7.0,Lauer,Kelly,Yates,2:57,D,18715.0,1.05,-5,,ARI,2019
"Friday, May 24",ARI,@,SFG,W,18.0,2.0,9.0,26-25,3.0,7.0,Ray,Pomeranz,Godley,3:35,N,31777.0,.96,1,,ARI,2019
"Saturday, May 25",ARI,@,SFG,W,10.0,4.0,9.0,27-25,3.0,7.0,Clarke,Suárez,None,3:06,D,31531.0,.96,2,,ARI,2019
"Sunday, May 26",ARI,@,SFG,W,6.0,2.0,9.0,28-25,2.0,7.0,Weaver,Anderson,Holland,3:17,D,37017.0,1.01,3,,ARI,2019
"Monday, May 27",ARI,@,COL,L-wo,3.0,4.0,11.0,28-26,2.0,8.0,Oh,Andriese,None,4:23,D,35604.0,1.09,-1,,ARI,2019
"Tuesday, May 28",ARI,@,COL,L,2.0,6.0,9.0,28-27,3.0,8.0,Díaz,Kelly,Bettis,3:02,N,21583.0,1.03,-2,,ARI,2019
"Wednesday, May 29",ARI,@,COL,L,4.0,5.0,9.0,28-28,3.0,9.0,Hoffman,Ray,Oberg,3:11,N,24261.0,1.01,-3,,ARI,2019
"Thursday, May 30",ARI,@,COL,L-wo,10.0,11.0,10.0,28-29,4.0,10.0,Oh,Hirano,None,3:51,D,30371.0,.95,-4,,ARI,2019
"Friday, May 31",ARI,Home,NYM,L,4.0,5.0,9.0,28-30,4.0,11.0,Wheeler,Andriese,Gsellman,3:14,N,24664.0,.80,-5,,ARI,2019
"Saturday, Jun 1",ARI,Home,NYM,W-wo,6.0,5.0,11.0,29-30,4.0,11.0,Hirano,Bashlor,None,3:42,N,34888.0,.69,1,,ARI,2019
"Sunday, Jun 2",ARI,Home,NYM,W,7.0,1.0,9.0,30-30,4.0,11.0,Kelly,Matz,None,2:37,D,26945.0,.77,2,,ARI,2019
"Monday, Jun 3",ARI,Home,LAD,L,1.0,3.0,9.0,30-31,4.0,12.0,Buehler,Ray,Jansen,2:26,N,24124.0,.92,-1,,ARI,2019
"Tuesday, Jun 4",ARI,Home,LAD,L,0.0,9.0,9.0,30-32,4.0,13.0,Ryu,Clarke,None,3:07,N,29784.0,.79,-2,,ARI,2019
"Wednesday, Jun 5",ARI,Home,LAD,W-wo,3.0,2.0,11.0,31-32,4.0,12.0,Godley,Alexander,None,3:27,D,22753.0,.72,1,,ARI,2019
"Friday, Jun 7",ARI,@,TOR,W,8.0,2.0,9.0,32-32,4.0,11.0,Kelly,Stroman,None,2:50,N,16555.0,.68,2,,ARI,2019
"Saturday, Jun 8",ARI,@,TOR,W,6.0,0.0,9.0,33-32,3.0,11.0,Greinke,Sanchez,None,3:09,D,22954.0,.73,3,,ARI,2019
"Sunday, Jun 9",ARI,@,TOR,W,8.0,2.0,9.0,34-32,2.0,11.0,Ray,Richard,None,3:04,D,19661.0,.79,4,,ARI,2019
"Monday, Jun 10",ARI,@,PHI,W,13.0,8.0,9.0,35-32,2.0,10.0,Godley,Eickhoff,None,3:50,N,26255.0,.92,5,,ARI,2019
"Tuesday, Jun 11",ARI,@,PHI,L,4.0,7.0,9.0,35-33,3.0,10.0,Arrieta,Duplantier,Neris,3:16,N,26321.0,.96,-1,,ARI,2019
"Wednesday, Jun 12",ARI,@,PHI,W,2.0,0.0,9.0,36-33,2.0,9.5,Kelly,Eflin,Holland,2:16,N,29047.0,.95,1,,ARI,2019
"Thursday, Jun 13",ARI,@,WSN,W,5.0,0.0,9.0,37-33,2.0,9.5,Greinke,Fedde,None,2:15,N,24909.0,.99,2,,ARI,2019
"Friday, Jun 14",ARI,@,WSN,L,3.0,7.0,9.0,37-34,2.0,10.5,Scherzer,Ray,None,2:57,N,29853.0,1.03,-1,,ARI,2019
"Saturday, Jun 15",ARI,@,WSN,W,10.0,3.0,9.0,38-34,2.0,9.5,Hirano,Strasburg,None,3:30,D,38044.0,.96,1,,ARI,2019
"Sunday, Jun 16",ARI,@,WSN,L,5.0,15.0,9.0,38-35,2.0,10.5,Sánchez,Bradley,None,3:14,D,29032.0,1.05,-1,,ARI,2019
"Tuesday, Jun 18",ARI,Home,COL,L,1.0,8.0,9.0,38-36,3.0,11.0,Senzatela,Kelly,None,2:51,N,22954.0,1.06,-2,,ARI,2019
"Wednesday, Jun 19",ARI,Home,COL,L,4.0,6.0,9.0,38-37,3.0,12.0,Gray,Greinke,Davis,2:55,N,21773.0,1.00,-3,,ARI,2019
"Thursday, Jun 20",ARI,Home,COL,L,4.0,6.0,10.0,38-38,4.0,13.0,Oberg,Hirano,None,4:08,D,23294.0,.88,-4,,ARI,2019
"Friday, Jun 21",ARI,Home,SFG,L,5.0,11.0,9.0,38-39,4.0,14.0,Samardzija,Clarke,None,3:09,N,29312.0,.75,-5,,ARI,2019
"Saturday, Jun 22",ARI,Home,SFG,L,4.0,7.0,9.0,38-40,4.0,15.0,Gott,Godley,Smith,3:20,N,32082.0,.65,-6,,ARI,2019
"Sunday, Jun 23",ARI,Home,SFG,W-wo,3.0,2.0,10.0,39-40,3.0,15.0,Andriese,Melancon,None,3:13,D,25071.0,.60,1,,ARI,2019
"Monday, Jun 24",ARI,Home,LAD,W,8.0,5.0,9.0,40-40,3.0,14.0,López,Floro,Holland,3:12,N,24675.0,.69,2,,ARI,2019
"Tuesday, Jun 25",ARI,Home,LAD,L,2.0,3.0,9.0,40-41,3.0,15.0,Urías,Ray,Jansen,3:07,N,27927.0,.80,-1,,ARI,2019
"Wednesday, Jun 26",ARI,Home,LAD,W,8.0,2.0,9.0,41-41,3.0,14.0,Clarke,Gonsolin,None,3:01,D,28752.0,.69,1,,ARI,2019
"Thursday, Jun 27",ARI,@,SFG,W,5.0,1.0,9.0,42-41,3.0,14.0,Young,Beede,None,2:42,N,30790.0,.74,2,,ARI,2019
"Friday, Jun 28",ARI,@,SFG,L,3.0,6.0,9.0,42-42,4.0,14.0,Anderson,Kelly,None,3:07,N,35391.0,.76,-1,,ARI,2019
"Saturday, Jun 29",ARI,@,SFG,W,4.0,3.0,9.0,43-42,4.0,13.0,Greinke,Dyson,Holland,3:18,N,31600.0,.72,1,,ARI,2019
"Sunday, Jun 30",ARI,@,SFG,L,4.0,10.0,9.0,43-43,4.0,14.0,Bumgarner,Ray,None,3:09,D,31778.0,.77,-1,,ARI,2019
"Tuesday, Jul 2",ARI,@,LAD,L-wo,4.0,5.0,9.0,43-44,3.0,15.0,García,Holland,None,3:26,N,52969.0,.79,-2,,ARI,2019
"Wednesday, Jul 3",ARI,@,LAD,L-wo,4.0,5.0,10.0,43-45,3.0,16.0,Kelly,López,None,3:19,N,53327.0,.71,-3,,ARI,2019
"Friday, Jul 5",ARI,Home,COL,W,8.0,0.0,9.0,44-45,3.0,15.5,Greinke,Senzatela,None,2:52,N,43056.0,.66,1,,ARI,2019
"Saturday, Jul 6",ARI,Home,COL,W,4.0,2.0,9.0,45-45,2.0,14.5,Ray,Gray,Holland,3:11,N,28276.0,.73,2,,ARI,2019
"Sunday, Jul 7",ARI,Home,COL,W,5.0,3.0,9.0,46-45,2.0,13.5,Young,Márquez,Holland,2:36,D,22964.0,.81,3,,ARI,2019
"Friday, Jul 12",ARI,@,STL,W,4.0,2.0,9.0,47-45,2.0,12.5,Ray,Miller,Holland,2:56,N,44960.0,.86,4,,ARI,2019
"Saturday, Jul 13",ARI,@,STL,L,2.0,4.0,9.0,47-46,2.0,13.5,Hudson,Kelly,Martínez,3:04,N,46152.0,.89,-1,,ARI,2019
"Sunday, Jul 14",ARI,@,STL,L,2.0,5.0,9.0,47-47,2.0,14.5,Wainwright,Greinke,Martínez,2:52,D,43439.0,.87,-2,,ARI,2019
"Tuesday, Jul 16",ARI,@,TEX,W,9.0,2.0,9.0,48-47,2.0,14.0,Young,Lynn,None,3:23,N,19202.0,.74,1,,ARI,2019
"Wednesday, Jul 17",ARI,@,TEX,W,19.0,4.0,9.0,49-47,2.0,14.0,Ray,Chavez,None,3:14,N,26681.0,.80,2,,ARI,2019
"Thursday, Jul 18",ARI,Home,MIL,L,1.0,5.0,9.0,49-48,2.0,14.0,Davies,López,None,2:59,N,23985.0,.94,-1,,ARI,2019
"Friday, Jul 19",ARI,Home,MIL,W,10.0,7.0,9.0,50-48,2.0,14.0,Bradley,Chacín,Holland,3:44,N,28505.0,.87,1,,ARI,2019
"Saturday, Jul 20",ARI,Home,MIL,L,3.0,8.0,9.0,50-49,2.0,15.0,Houser,Chafin,None,3:17,N,38567.0,.93,-1,,ARI,2019
"Sunday, Jul 21",ARI,Home,MIL,L,4.0,7.0,9.0,50-50,2.0,16.0,Peralta,López,Hader,3:39,D,33111.0,.87,-2,,ARI,2019
"Monday, Jul 22",ARI,Home,BAL,W,6.0,3.0,9.0,51-50,2.0,15.5,Ray,Brooks,Holland,2:55,N,19192.0,.68,1,,ARI,2019
"Tuesday, Jul 23",ARI,Home,BAL,L,2.0,7.0,9.0,51-51,3.0,15.5,Bundy,Kelly,None,2:57,N,20253.0,.75,-1,,ARI,2019
"Wednesday, Jul 24",ARI,Home,BAL,W,5.0,2.0,9.0,52-51,2.0,14.5,Clarke,Means,López,3:24,D,20452.0,.67,1,,ARI,2019
"Friday, Jul 26",ARI,@,MIA,L-wo,2.0,3.0,9.0,52-52,3.0,15.5,Quijada,Holland,None,3:10,N,8867.0,.71,-1,,ARI,2019
"Saturday, Jul 27",ARI,@,MIA,W,9.0,2.0,9.0,53-52,2.0,15.5,Young,Yamamoto,None,2:49,N,13047.0,.65,1,,ARI,2019
"Sunday, Jul 28",ARI,@,MIA,L,1.0,5.0,9.0,53-53,3.0,15.5,Quijada,Ray,None,3:11,D,11538.0,.76,-1,,ARI,2019
"Monday, Jul 29",ARI,@,MIA,L,6.0,11.0,9.0,53-54,3.0,15.5,Smith,Kelly,None,2:59,N,7048.0,.68,-2,,ARI,2019
"Tuesday, Jul 30",ARI,@,NYY,W,4.0,2.0,9.0,54-54,3.0,15.5,Clarke,Happ,Bradley,3:10,N,47281.0,.61,1,,ARI,2019
"Wednesday, Jul 31",ARI,@,NYY,L,5.0,7.0,9.0,54-55,3.0,16.5,Ottavino,Hirano,Chapman,3:43,D,43979.0,.70,-1,,ARI,2019
"Friday, Aug 2",ARI,Home,WSN,L,0.0,3.0,9.0,54-56,3.0,17.0,Ross,Young,Doolittle,2:43,N,24298.0,.71,-2,,ARI,2019
"Saturday, Aug 3",ARI,Home,WSN,W,18.0,7.0,9.0,55-56,3.0,17.0,Ray,Strasburg,None,3:46,N,33966.0,.64,1,,ARI,2019
"Sunday, Aug 4",ARI,Home,WSN,W,7.0,5.0,9.0,56-56,2.0,17.0,Hirano,Suero,Bradley,3:07,D,22976.0,.73,2,,ARI,2019
"Monday, Aug 5",ARI,Home,PHI,L,3.0,7.0,9.0,56-57,2.0,18.0,Velasquez,Kelly,None,3:05,N,18319.0,.83,-1,,ARI,2019
"Tuesday, Aug 6",ARI,Home,PHI,W,8.0,4.0,9.0,57-57,2.0,18.0,Chafin,Suárez,None,3:19,N,17446.0,.70,1,,ARI,2019
"Wednesday, Aug 7",ARI,Home,PHI,W,6.0,1.0,9.0,58-57,2.0,18.0,Gallen,Vargas,None,3:10,N,18140.0,.79,2,,ARI,2019
"Friday, Aug 9",ARI,@,LAD,W,3.0,2.0,11.0,59-57,2.0,17.0,Chafin,Urías,Bradley,3:49,N,49538.0,.73,3,,ARI,2019
"Saturday, Aug 10",ARI,@,LAD,L,0.0,4.0,9.0,59-58,2.0,18.0,Maeda,Young,None,3:18,N,52606.0,.81,-1,,ARI,2019
"Sunday, Aug 11",ARI,@,LAD,L,3.0,9.0,9.0,59-59,2.0,19.0,Ryu,Leake,None,2:40,D,44619.0,.72,-2,,ARI,2019
"Monday, Aug 12",ARI,@,COL,W,8.0,6.0,9.0,60-59,2.0,18.5,Kelly,Bettis,Bradley,3:30,N,32160.0,.67,1,,ARI,2019
"Tuesday, Aug 13",ARI,@,COL,W,9.0,3.0,9.0,61-59,2.0,18.5,Ginkel,Hoffman,None,3:32,N,31815.0,.75,2,,ARI,2019
"Wednesday, Aug 14",ARI,@,COL,L-wo,6.0,7.0,9.0,61-60,2.0,19.5,Oberg,Bradley,None,3:25,D,32247.0,.82,-1,,ARI,2019
"Thursday, Aug 15",ARI,Home,SFG,L,0.0,7.0,9.0,61-61,2.0,19.5,Rodríguez,Young,None,2:44,N,19037.0,.74,-2,,ARI,2019
"Friday, Aug 16",ARI,Home,SFG,L,9.0,10.0,11.0,61-62,3.0,20.5,Smith,López,Gott,4:05,N,23642.0,.66,-3,,ARI,2019
"Saturday, Aug 17",ARI,Home,SFG,L,6.0,11.0,9.0,61-63,3.0,20.5,Webb,Clarke,None,3:40,N,35366.0,.53,-4,,ARI,2019
"Sunday, Aug 18",ARI,Home,SFG,W,6.0,1.0,9.0,62-63,3.0,19.5,Kelly,Bumgarner,None,3:19,D,26079.0,.43,1,,ARI,2019
"Monday, Aug 19",ARI,Home,COL,W,5.0,3.0,9.0,63-63,3.0,19.0,López,Davis,Bradley,2:51,N,15443.0,.44,2,,ARI,2019
"Tuesday, Aug 20",ARI,Home,COL,W,8.0,7.0,9.0,64-63,2.0,19.0,Young,Freeland,Bradley,3:13,N,17691.0,.51,3,,ARI,2019
"Wednesday, Aug 21",ARI,Home,COL,L,2.0,7.0,9.0,64-64,2.0,20.0,Melville,Leake,None,2:50,D,17707.0,.59,-1,,ARI,2019
"Friday, Aug 23",ARI,@,MIL,L,1.0,6.0,9.0,64-65,2.0,20.5,Lyles,Kelly,None,3:06,N,42209.0,.39,-2,,ARI,2019
"Saturday, Aug 24",ARI,@,MIL,L,0.0,4.0,9.0,64-66,3.0,21.5,Anderson,Gallen,None,3:29,N,41737.0,.33,-3,,ARI,2019
"Sunday, Aug 25",ARI,@,MIL,W,5.0,2.0,9.0,65-66,3.0,20.5,Ray,Davies,Bradley,3:44,D,38920.0,.24,1,,ARI,2019
"Monday, Aug 26",ARI,@,SFG,W,6.0,4.0,9.0,66-66,2.0,19.5,Young,Beede,Bradley,3:30,N,29169.0,.32,2,,ARI,2019
"Tuesday, Aug 27",ARI,@,SFG,W,3.0,2.0,9.0,67-66,2.0,19.5,Leake,Coonrod,Bradley,2:46,N,28262.0,.40,3,,ARI,2019
"Thursday, Aug 29",ARI,Home,LAD,W,11.0,5.0,9.0,68-66,2.0,19.0,Andriese,Ryu,None,3:23,N,22581.0,.44,4,,ARI,2019
"Friday, Aug 30",ARI,Home,LAD,W,5.0,4.0,9.0,69-66,2.0,18.0,Bradley,García,None,3:41,N,34149.0,.52,5,,ARI,2019
"Saturday, Aug 31",ARI,Home,LAD,W,6.0,5.0,9.0,70-66,2.0,17.0,Ray,Kershaw,Bradley,3:11,N,50180.0,.61,6,,ARI,2019
"Sunday, Sep 1",ARI,Home,LAD,L,3.0,4.0,11.0,70-67,2.0,18.0,Sadler,Clarke,Báez,3:56,D,34439.0,.70,-1,,ARI,2019
"Monday, Sep 2",ARI,Home,SDP,W,14.0,7.0,9.0,71-67,2.0,18.0,Leake,Quantrill,None,3:26,D,23477.0,.57,1,,ARI,2019
"Tuesday, Sep 3",ARI,Home,SDP,W,2.0,1.0,9.0,72-67,2.0,18.0,Kelly,Bolaños,Bradley,3:08,N,15402.0,.64,2,,ARI,2019
"Wednesday, Sep 4",ARI,Home,SDP,W,4.0,1.0,9.0,73-67,2.0,18.0,Gallen,Stammen,Bradley,2:55,N,18096.0,.64,3,,ARI,2019
"Friday, Sep 6",ARI,@,CIN,W,7.0,5.0,9.0,74-67,2.0,17.0,Ginkel,Mahle,Bradley,4:10,N,19048.0,.82,4,,ARI,2019
"Saturday, Sep 7",ARI,@,CIN,W,2.0,0.0,9.0,75-67,2.0,16.0,Young,Castillo,Sherfy,2:39,D,34804.0,1.10,5,,ARI,2019
"Sunday, Sep 8",ARI,@,CIN,L-wo,3.0,4.0,9.0,75-68,2.0,17.0,Iglesias,López,None,3:12,D,19717.0,1.31,-1,,ARI,2019
"Monday, Sep 9",ARI,@,NYM,L,1.0,3.0,9.0,75-69,2.0,17.5,deGrom,Kelly,Lugo,2:45,N,21337.0,1.23,-2,,ARI,2019
"Tuesday, Sep 10",ARI,@,NYM,L,2.0,3.0,9.0,75-70,2.0,18.5,Wheeler,Gallen,Wilson,3:02,N,20843.0,1.01,-3,,ARI,2019
"Wednesday, Sep 11",ARI,@,NYM,L,0.0,9.0,9.0,75-71,2.0,18.5,Matz,Ray,None,3:06,N,21841.0,.88,-4,,ARI,2019
"Thursday, Sep 12",ARI,@,NYM,L,1.0,11.0,9.0,75-72,2.0,19.5,Stroman,Young,None,3:25,D,21856.0,.71,-5,,ARI,2019
"Friday, Sep 13",ARI,Home,CIN,L,3.0,4.0,9.0,75-73,2.0,20.5,Castillo,Leake,Iglesias,2:48,N,35158.0,.28,-6,,ARI,2019
"Saturday, Sep 14",ARI,Home,CIN,W,1.0,0.0,9.0,76-73,2.0,19.5,Kelly,DeSclafani,Bradley,2:15,N,35151.0,.17,1,,ARI,2019
"Sunday, Sep 15",ARI,Home,CIN,L,1.0,3.0,9.0,76-74,2.0,20.5,Bauer,Gallen,Iglesias,2:55,D,25193.0,.20,-1,,ARI,2019
"Monday, Sep 16",ARI,Home,MIA,W,7.0,5.0,9.0,77-74,2.0,20.0,Hirano,Guerrero,Ginkel,3:25,N,15897.0,.07,1,,ARI,2019
"Tuesday, Sep 17",ARI,Home,MIA,L,6.0,12.0,9.0,77-75,2.0,21.0,Smith,Andriese,None,3:49,N,19745.0,.08,-1,,ARI,2019
"Wednesday, Sep 18",ARI,Home,MIA,W,5.0,4.0,9.0,78-75,2.0,20.0,Leake,Alcantara,Bradley,2:55,D,17731.0,.02,1,,ARI,2019
"Friday, Sep 20",ARI,@,SDP,W,9.0,0.0,9.0,79-75,2.0,20.0,Kelly,Lauer,None,3:11,N,27023.0,.05,2,,ARI,2019
"Saturday, Sep 21",ARI,@,SDP,W,4.0,2.0,9.0,80-75,2.0,19.0,Clarke,Strahm,Bradley,3:12,N,30191.0,.06,3,,ARI,2019
"Sunday, Sep 22",ARI,@,SDP,L-wo,4.0,6.0,10.0,80-76,2.0,20.0,Strahm,López,None,3:42,D,31293.0,.06,-1,,ARI,2019
"Monday, Sep 23",ARI,Home,STL,L,7.0,9.0,9.0,80-77,2.0,20.5,Wainwright,Young,Martínez,3:29,N,24826.0,.01,-2,,ARI,2019
"Tuesday, Sep 24",ARI,Home,STL,W-wo,3.0,2.0,19.0,81-77,2.0,20.5,Ginkel,Brebbia,None,6:53,N,26097.0,.00,1,,ARI,2019
"Wednesday, Sep 25",ARI,Home,STL,W,9.0,7.0,9.0,82-77,2.0,20.5,Kelly,Fernández,Bradley,3:52,D,21420.0,.00,2,,ARI,2019
"Friday, Sep 27",ARI,Home,SDP,W,6.0,3.0,9.0,83-77,2.0,21.0,Scott,Perdomo,Bradley,3:03,N,32244.0,.00,3,,ARI,2019
"Saturday, Sep 28",ARI,Home,SDP,W,6.0,5.0,9.0,84-77,2.0,21.0,Sherfy,Bednar,Ginkel,3:05,N,46477.0,.00,4,,ARI,2019
