date,actual,persistence,climatology,moving_avg,ensemble_v9,ensemble_v10,ensemble_v11
2025-05-30,74.0,64.0,68.3,64.71428571428571,69.325,67.03999999999999,66.1078632882739
2025-05-31,64.0,71.0,68.1,66.57142857142857,68.675,67.68,67.87550668246237
2025-06-01,66.0,74.0,68.53333333333333,68.0,69.40833333333333,68.81333333333333,69.42674344801637
2025-06-02,85.0,64.0,68.23333333333333,67.85714285714286,69.18333333333334,68.21333333333334,68.31498189345285
2025-06-03,89.0,66.0,68.43333333333334,67.85714285714286,68.50833333333334,68.05333333333334,68.32783158259386
2025-06-04,75.0,85.0,69.43333333333334,70.28571428571429,70.15833333333333,70.97333333333333,72.12458697833694
2025-06-05,72.0,89.0,70.5,73.28571428571429,74.025,73.56,74.9350659298095
2025-06-06,78.0,75.0,70.9,74.85714285714286,75.17500000000001,73.84,74.84746480738757
2025-06-07,78.0,72.0,70.73333333333333,75.0,72.65833333333333,74.73333333333335,74.16537307661493
2025-06-08,82.0,78.0,70.86666666666666,75.57142857142857,70.56666666666666,76.22666666666666,74.96110274861311
2025-06-09,74.0,78.0,71.5,77.57142857142857,70.675,75.64,76.63953264020589
2025-06-10,79.0,82.0,72.06666666666666,79.85714285714286,71.79166666666666,75.02666666666667,78.23903562279904
2025-06-11,91.0,74.0,71.96666666666667,78.28571428571429,71.81666666666666,74.86666666666667,77.36209369050422
2025-06-12,82.0,79.0,72.2,76.85714285714286,72.975,75.80000000000001,76.84764670146282
2025-06-13,72.0,91.0,72.53333333333333,79.14285714285714,73.68333333333334,77.49333333333334,78.50383441117413
2025-06-14,75.0,82.0,72.66666666666667,80.57142857142857,74.46666666666667,78.02666666666667,78.6967117979569
2025-06-15,81.0,72.0,72.4,79.71428571428571,73.42500000000001,76.72,77.78414962261739
2025-06-16,86.0,75.0,71.73333333333333,79.28571428571429,70.18333333333334,76.57333333333332,77.37937412632967
2025-06-17,92.0,81.0,71.46666666666667,79.14285714285714,69.81666666666666,76.70666666666666,77.60780914588214
2025-06-18,83.0,86.0,71.93333333333334,80.85714285714286,71.83333333333334,76.29333333333334,78.6459782777279
2025-06-19,84.0,92.0,72.93333333333334,82.71428571428571,74.83333333333334,77.89333333333333,79.76600616278708
2025-06-20,86.0,83.0,73.8,81.57142857142857,76.64999999999999,79.56,79.29598959462346
2025-06-21,95.0,84.0,74.66666666666667,81.85714285714286,77.01666666666667,80.98666666666666,79.48812028587766
2025-06-22,95.0,86.0,75.73333333333333,83.85714285714286,75.98333333333333,82.01333333333334,80.33176420230278
2025-06-23,95.0,95.0,76.96666666666667,86.71428571428571,77.81666666666666,83.58666666666667,81.54289986265957
2025-06-24,96.0,95.0,78.0,88.71428571428571,79.725,84.36,82.17175419048814
2025-06-25,89.0,95.0,79.0,90.0,81.625,86.2,82.7317533775107
2025-06-26,95.0,96.0,80.0,90.57142857142857,82.5,88.03999999999999,83.1243284348952
2025-06-27,89.0,89.0,80.7,91.42857142857143,81.7,88.68,83.11807914137366
2025-06-28,86.0,95.0,81.6,93.0,81.77499999999999,89.03999999999999,83.73122354288546
2025-06-29,93.0,89.0,82.43333333333334,93.42857142857143,81.15833333333333,88.65333333333334,83.78511526084858
2025-06-30,91.0,86.0,82.93333333333334,92.14285714285714,81.80833333333334,87.77333333333334,83.64363265031726
2025-07-01,88.0,93.0,83.56666666666666,91.85714285714286,82.24166666666666,87.66666666666667,84.10486508248974
2025-07-02,91.0,91.0,84.46666666666667,91.28571428571429,83.79166666666667,88.26666666666667,84.33572356104102
2025-07-03,92.0,88.0,85.2,90.14285714285714,85.47500000000001,87.72,84.18667597615718
2025-07-04,92.0,91.0,85.4,90.42857142857143,85.17500000000001,88.03999999999999,84.38112647373025
2025-07-05,94.0,92.0,85.5,90.0,85.675,88.80000000000001,84.39658064731418
2025-07-06,88.0,92.0,86.06666666666666,90.42857142857143,86.71666666666667,88.90666666666667,84.62235714568952
2025-07-07,82.0,94.0,86.8,91.57142857142857,87.375,89.56,85.11651601444784
2025-07-08,85.0,88.0,87.13333333333334,90.85714285714286,87.38333333333334,89.69333333333334,84.86855812432304
2025-07-09,84.0,82.0,87.26666666666667,89.57142857142857,86.44166666666666,88.66666666666666,84.47500069139335
2025-07-10,84.0,85.0,87.36666666666666,89.14285714285714,85.19166666666666,87.86666666666667,84.50554441658937
2025-07-11,91.0,84.0,87.7,88.14285714285714,85.35000000000001,87.03999999999999,84.50753201739998
2025-07-12,84.0,84.0,87.86666666666666,87.0,86.46666666666665,85.90666666666667,84.42597926696362
2025-07-13,84.0,91.0,87.86666666666666,86.85714285714286,87.59166666666665,86.26666666666667,84.68217587035724
2025-07-14,87.0,84.0,87.93333333333334,85.42857142857143,88.40833333333333,86.53333333333333,84.28519965986445
2025-07-15,92.0,84.0,88.33333333333333,84.85714285714286,89.10833333333332,86.57333333333334,84.23671461903625
2025-07-16,92.0,87.0,88.73333333333333,85.57142857142857,88.43333333333334,87.09333333333333,84.5984483501935
2025-07-17,75.0,92.0,89.1,86.57142857142857,89.675,88.19999999999999,85.07361240372313
2025-07-18,81.0,92.0,89.3,87.71428571428571,90.675,88.4,85.37193889441991
2025-07-19,85.0,75.0,88.73333333333333,86.42857142857143,88.68333333333334,87.09333333333333,84.38705824313683
2025-07-20,79.0,81.0,88.66666666666667,85.0,87.44166666666668,86.70666666666668,84.19868123582359
2025-07-21,83.0,85.0,88.7,85.14285714285714,86.175,86.48,84.47261738352577
2025-07-22,88.0,79.0,88.46666666666667,84.42857142857143,87.01666666666667,84.82666666666668,84.08926867095613
2025-07-23,94.0,83.0,88.06666666666666,83.85714285714286,87.26666666666667,83.58666666666666,83.99272277633199
2025-07-24,96.0,88.0,87.83333333333333,83.28571428571429,87.85833333333332,85.05333333333334,84.15083364424997
2025-07-25,84.0,94.0,87.8,83.57142857142857,90.3,86.6,84.35770789331949
2025-07-26,85.0,96.0,87.8,86.57142857142857,91.0,87.91999999999999,84.96092642257925
2025-07-27,90.0,84.0,87.63333333333334,87.0,89.90833333333333,88.45333333333333,84.51627703544644
2025-07-28,93.0,85.0,87.3,87.0,88.0,88.56,84.30855636300645
2025-07-29,93.0,90.0,87.33333333333333,88.57142857142857,86.15833333333333,88.81333333333333,84.72075829393974
2025-07-30,82.0,93.0,87.56666666666666,90.0,87.21666666666667,88.78666666666666,85.13367270903063
2025-07-31,78.0,93.0,87.56666666666666,90.71428571428571,88.24166666666666,88.42666666666666,85.36141508185428
2025-08-01,77.0,82.0,87.26666666666667,89.0,87.44166666666666,88.06666666666666,84.60033004382495
2025-08-02,79.0,78.0,86.93333333333334,86.42857142857143,85.83333333333334,87.09333333333333,83.83796851438213
2025-08-03,80.0,77.0,86.46666666666667,85.42857142857143,83.09166666666667,85.34666666666666,83.43914415661199
2025-08-04,82.0,79.0,86.03333333333333,84.57142857142857,82.58333333333333,83.49333333333334,83.19569304070565
2025-08-05,84.0,80.0,85.63333333333334,83.14285714285714,83.28333333333335,81.77333333333334,82.97397596397788
2025-08-06,89.0,82.0,85.23333333333333,81.57142857142857,84.58333333333333,81.61333333333334,82.70660195147092
2025-08-07,91.0,84.0,85.1,80.28571428571429,86.0,82.28,82.37432772079721
2025-08-08,93.0,89.0,85.33333333333333,81.28571428571429,87.28333333333333,83.81333333333333,82.90680154848276
2025-08-09,94.0,91.0,85.53333333333333,83.14285714285714,88.08333333333333,85.33333333333333,83.484907660017
2025-08-10,92.0,93.0,85.83333333333333,85.42857142857143,88.75833333333333,87.01333333333334,84.03613416240741
