game_id,game_date,season,away_team,home_team,away_team_id,home_team_id,away_score,home_score,total_runs,home_win,innings,extra_innings,away_starter_id,away_starter_name,home_starter_id,home_starter_name,winning_pitcher_id,losing_pitcher_id,venue_id,venue_name,day_night,game_type
718780,2023-03-30,2023,ATL,WSH,144,120,7,2,9,0,9,0,608331.0,Max Fried,571578.0,Patrick Corbin,476595.0,571578.0,3309,Nationals Park,day,R
718781,2023-03-30,2023,SF,NYY,137,147,0,5,5,1,9,0,657277.0,Logan Webb,543037.0,Gerrit Cole,543037.0,657277.0,3313,Yankee Stadium,day,R
718782,2023-03-30,2023,BAL,BOS,110,111,10,9,19,0,9,0,502043.0,Kyle Gibson,446372.0,Corey Kluber,502043.0,446372.0,3,Fenway Park,day,R
718777,2023-03-30,2023,MIL,CHC,158,112,0,4,4,1,9,0,669203.0,Corbin Burnes,573186.0,Marcus Stroman,573186.0,669203.0,17,Wrigley Field,day,R
718776,2023-03-30,2023,DET,TB,116,139,0,4,4,1,9,0,593958.0,Eduardo Rodriguez,663556.0,Shane McClanahan,663556.0,593958.0,12,Tropicana Field,day,R
718779,2023-03-30,2023,PHI,TEX,143,140,7,11,18,1,9,0,605400.0,Aaron Nola,594798.0,Jacob deGrom,666142.0,642397.0,5325,Globe Life Field,day,R
718773,2023-03-30,2023,PIT,CIN,134,113,5,4,9,0,9,0,656605.0,Mitch Keller,668881.0,Hunter Greene,642239.0,571656.0,2602,Great American Ball Park,day,R
718772,2023-03-30,2023,TOR,STL,141,138,10,9,19,0,9,0,666201.0,Alek Manoah,571945.0,Miles Mikolas,554340.0,664854.0,2889,Busch Stadium,day,R
718775,2023-03-30,2023,MIN,KC,142,118,2,0,2,0,9,0,641154.0,Pablo López,425844.0,Zack Greinke,641154.0,425844.0,7,Kauffman Stadium,day,R
718774,2023-03-30,2023,NYM,MIA,121,146,5,3,8,0,9,0,453286.0,Max Scherzer,645261.0,Sandy Alcantara,453286.0,656945.0,4169,loanDepot park,day,R
718768,2023-03-30,2023,CWS,HOU,145,117,3,2,5,0,9,0,656302.0,Dylan Cease,664285.0,Framber Valdez,608665.0,519151.0,2392,Minute Maid Park,night,R
718778,2023-03-31,2023,COL,SD,115,135,7,2,9,0,9,0,608566.0,Germán Márquez,605483.0,Blake Snell,608566.0,605483.0,2680,Petco Park,night,R
718769,2023-03-31,2023,LAA,OAK,108,133,1,2,3,1,9,0,660271.0,Shohei Ohtani,666205.0,Kyle Muller,543507.0,571901.0,10,Oakland Coliseum,night,R
718770,2023-03-31,2023,ARI,LAD,109,119,2,8,10,1,9,0,668678.0,Zac Gallen,628711.0,Julio Urías,628711.0,668678.0,22,Dodger Stadium,night,R
718767,2023-03-31,2023,CLE,SEA,114,136,0,3,3,1,9,0,669456.0,Shane Bieber,622491.0,Luis Castillo,623149.0,675916.0,680,T-Mobile Park,night,R
718771,2023-03-31,2023,NYM,MIA,121,146,1,2,3,1,9,0,656849.0,David Peterson,666200.0,Jesús Luzardo,666200.0,656849.0,4169,loanDepot park,night,R
718764,2023-04-01,2023,CWS,HOU,145,117,3,6,9,1,9,0,458681.0,Lance Lynn,664299.0,Cristian Javier,661527.0,608665.0,2392,Minute Maid Park,night,R
718766,2023-04-01,2023,COL,SD,115,135,4,1,5,0,9,0,607536.0,Kyle Freeland,607259.0,Nick Martinez,607536.0,607259.0,2680,Petco Park,night,R
718765,2023-04-01,2023,ARI,LAD,109,119,2,1,3,0,9,0,518876.0,Merrill Kelly,669160.0,Dustin May,686753.0,681911.0,22,Dodger Stadium,night,R
718763,2023-04-01,2023,CLE,SEA,114,136,9,4,13,0,9,0,683769.0,Hunter Gaddis,592662.0,Robbie Ray,680704.0,592662.0,680,T-Mobile Park,night,R
718760,2023-04-01,2023,CWS,HOU,145,117,4,6,10,1,9,0,608337.0,Lucas Giolito,664353.0,José Urquidy,592773.0,523260.0,2392,Minute Maid Park,day,R
718759,2023-04-01,2023,TOR,STL,141,138,1,4,5,1,9,0,592332.0,Kevin Gausman,656427.0,Jack Flaherty,656427.0,592332.0,2889,Busch Stadium,day,R
718758,2023-04-01,2023,MIL,CHC,158,112,3,1,4,0,9,0,605540.0,Brandon Woodruff,657006.0,Justin Steele,657265.0,665871.0,17,Wrigley Field,day,R
718752,2023-04-01,2023,PHI,TEX,143,140,3,16,19,1,9,0,554430.0,Zack Wheeler,543135.0,Nathan Eovaldi,543135.0,554430.0,5325,Globe Life Field,day,R
718753,2023-04-01,2023,ATL,WSH,144,120,7,1,8,0,9,0,675911.0,Spencer Strider,680686.0,Josiah Gray,675911.0,680686.0,3309,Nationals Park,day,R
