game_id,game_date,season,away_team,home_team,away_team_id,home_team_id,away_score,home_score,total_runs,home_win,innings,extra_innings,away_starter_id,away_starter_name,home_starter_id,home_starter_name,winning_pitcher_id,losing_pitcher_id,venue_id,venue_name,day_night,game_type
634642,2021-04-01,2021,TOR,NYY,141,147,3,2,5,0,10,1,547943.0,Hyun Jin Ryu,543037.0,Gerrit Cole,605447.0,656793.0,3313,Yankee Stadium,day,R
634645,2021-04-01,2021,CLE,DET,114,116,2,3,5,1,9,0,669456.0,Shane Bieber,571510.0,Matthew Boyd,571510.0,669456.0,2394,Comerica Park,day,R
634638,2021-04-01,2021,MIN,MIL,142,158,5,6,11,1,10,1,628317.0,Kenta Maeda,605540.0,Brandon Woodruff,623352.0,677976.0,32,American Family Field,day,R
634634,2021-04-01,2021,PIT,CHC,134,112,5,3,8,0,9,0,641771.0,Chad Kuhl,543294.0,Kyle Hendricks,607572.0,543294.0,17,Wrigley Field,day,R
634622,2021-04-01,2021,ATL,PHI,144,143,2,3,5,1,10,1,608331.0,Max Fried,605400.0,Aaron Nola,641401.0,518858.0,2681,Citizens Bank Park,day,R
634615,2021-04-01,2021,LAD,COL,119,115,5,8,13,1,9,0,477132.0,Clayton Kershaw,608566.0,Germán Márquez,592346.0,477132.0,19,Coors Field,day,R
634618,2021-04-01,2021,ARI,SD,109,135,7,8,15,1,9,0,518516.0,Madison Bumgarner,506433.0,Yu Darvish,641941.0,622065.0,2680,Petco Park,day,R
634636,2021-04-01,2021,STL,CIN,138,113,11,6,17,0,9,0,656427.0,Jack Flaherty,622491.0,Luis Castillo,606149.0,622491.0,2602,Great American Ball Park,day,R
634630,2021-04-01,2021,TEX,KC,140,118,10,14,24,1,9,0,502043.0,Kyle Gibson,641745.0,Brad Keller,672578.0,621129.0,7,Kauffman Stadium,day,R
634652,2021-04-01,2021,TB,MIA,139,146,1,0,1,0,9,0,607192.0,Tyler Glasnow,645261.0,Sandy Alcantara,657044.0,554340.0,4169,loanDepot park,day,R
634655,2021-04-02,2021,CWS,LAA,145,108,3,4,7,1,9,0,608337.0,Lucas Giolito,605164.0,Dylan Bundy,594577.0,607481.0,1,Angel Stadium,night,R
634640,2021-04-02,2021,HOU,OAK,117,133,8,1,9,0,9,0,425844.0,Zack Greinke,605135.0,Chris Bassitt,425844.0,605135.0,10,Oakland Coliseum,night,R
634625,2021-04-02,2021,SF,SEA,137,136,7,8,15,1,10,1,592332.0,Kevin Gausman,594835.0,Marco Gonzales,664948.0,501625.0,680,T-Mobile Park,night,R
