game_id,game_date,season,away_team,home_team,away_team_id,home_team_id,away_score,home_score,total_runs,home_win,innings,extra_innings,away_starter_id,away_starter_name,home_starter_id,home_starter_name,winning_pitcher_id,losing_pitcher_id,venue_id,venue_name,day_night,game_type
663178,2022-04-07,2022,MIL,CHC,158,112,4,5,9,1,9,0,669203.0,Corbin Burnes,543294.0,Kyle Hendricks,571710.0,676879.0,17,Wrigley Field,day,R
662766,2022-04-07,2022,CLE,KC,114,118,1,3,4,1,9,0,669456.0,Shane Bieber,425844.0,Zack Greinke,605130.0,663474.0,7,Kauffman Stadium,day,R
662021,2022-04-07,2022,PIT,STL,134,138,0,9,9,1,9,0,664141.0,JT Brubaker,425794.0,Adam Wainwright,425794.0,664141.0,2889,Busch Stadium,day,R
662571,2022-04-07,2022,NYM,WSH,121,120,5,1,6,0,9,0,656731.0,Tylor Megill,571578.0,Patrick Corbin,656731.0,571578.0,3309,Nationals Park,night,R
661577,2022-04-08,2022,CIN,ATL,113,144,6,3,9,0,9,0,641816.0,Tyler Mahle,608331.0,Max Fried,641816.0,608331.0,4705,Truist Park,night,R
661042,2022-04-08,2022,HOU,LAA,117,108,3,1,4,0,9,0,664285.0,Framber Valdez,660271.0,Shohei Ohtani,664285.0,660271.0,1,Angel Stadium,night,R
663418,2022-04-08,2022,SD,ARI,135,109,2,4,6,1,9,0,506433.0,Yu Darvish,518516.0,Madison Bumgarner,573009.0,663158.0,15,Chase Field,night,R
661333,2022-04-07,2022,BOS,NYY,111,147,0,0,0,0,9,0,543135.0,Nathan Eovaldi,543037.0,Gerrit Cole,,,3313,Yankee Stadium,day,R
661750,2022-04-07,2022,SEA,MIN,136,142,0,0,0,0,9,0,592662.0,Robbie Ray,657746.0,Joe Ryan,,,3312,Target Field,day,R
661333,2022-04-08,2022,BOS,NYY,111,147,5,6,11,1,11,1,543135.0,Nathan Eovaldi,543037.0,Gerrit Cole,650633.0,676710.0,3313,Yankee Stadium,day,R
662888,2022-04-08,2022,CWS,DET,145,116,4,5,9,1,9,0,608337.0,Lucas Giolito,593958.0,Eduardo Rodriguez,642397.0,521230.0,2394,Comerica Park,day,R
661131,2022-04-08,2022,OAK,PHI,133,143,5,9,14,1,9,0,593423.0,Frankie Montas,605400.0,Aaron Nola,605400.0,593423.0,2681,Citizens Bank Park,day,R
661918,2022-04-08,2022,BAL,TB,110,139,1,2,3,1,9,0,607644.0,John Means,663556.0,Shane McClanahan,552640.0,622253.0,12,Tropicana Field,day,R
662933,2022-04-08,2022,LAD,COL,119,115,5,3,8,0,9,0,621111.0,Walker Buehler,607536.0,Kyle Freeland,621111.0,607536.0,19,Coors Field,day,R
661750,2022-04-08,2022,SEA,MIN,136,142,2,1,3,0,9,0,592662.0,Robbie Ray,657746.0,Joe Ryan,592662.0,657746.0,3312,Target Field,day,R
662124,2022-04-08,2022,MIA,SF,146,137,5,6,11,1,10,1,645261.0,Sandy Alcantara,657277.0,Logan Webb,501625.0,542914.0,2395,Oracle Park,day,R
662559,2022-04-08,2022,NYM,WSH,121,120,7,3,10,0,9,0,453286.0,Max Scherzer,680686.0,Josiah Gray,453286.0,680686.0,3309,Nationals Park,night,R
661782,2022-04-08,2022,TEX,TOR,140,141,8,10,18,1,9,0,592351.0,Jon Gray,621244.0,José Berríos,643256.0,642701.0,14,Rogers Centre,night,R
661576,2022-04-08,2022,CIN,ATL,113,144,6,7,13,1,9,0,665665.0,Reiver Sanmartin,450203.0,Charlie Morton,450203.0,665665.0,4705,Truist Park,night,R
661041,2022-04-09,2022,HOU,LAA,117,108,13,6,19,0,9,0,543606.0,Jake Odorizzi,672282.0,Reid Detmers,606160.0,661383.0,1,Angel Stadium,night,R
663417,2022-04-09,2022,SD,ARI,135,109,3,0,3,0,9,0,640455.0,Sean Manaea,518876.0,Merrill Kelly,640455.0,424144.0,15,Chase Field,night,R
663147,2022-04-08,2022,MIL,CHC,158,112,0,0,0,0,9,0,605540.0,Brandon Woodruff,657006.0,Justin Steele,,,17,Wrigley Field,day,R
661917,2022-04-09,2022,BAL,TB,110,139,3,5,8,1,9,0,543475.0,Jordan Lyles,656876.0,Drew Rasmussen,676596.0,543475.0,12,Tropicana Field,day,R
662864,2022-04-09,2022,CWS,DET,145,116,5,2,7,0,9,0,656302.0,Dylan Cease,663554.0,Casey Mize,656302.0,663554.0,2394,Comerica Park,day,R
661756,2022-04-09,2022,SEA,MIN,136,142,4,3,7,0,9,0,669302.0,Logan Gilbert,543243.0,Sonny Gray,662253.0,608648.0,3312,Target Field,day,R
662020,2022-04-09,2022,PIT,STL,134,138,2,6,8,1,9,0,656605.0,Mitch Keller,571945.0,Miles Mikolas,676831.0,656605.0,2889,Busch Stadium,day,R
663205,2022-04-09,2022,MIL,CHC,158,112,0,9,9,1,9,0,605540.0,Brandon Woodruff,657006.0,Justin Steele,657006.0,605540.0,17,Wrigley Field,day,R
661803,2022-04-09,2022,TEX,TOR,140,141,3,4,7,1,9,0,641540.0,Dane Dunning,592332.0,Kevin Gausman,670950.0,656685.0,14,Rogers Centre,day,R
661130,2022-04-09,2022,OAK,PHI,133,143,2,4,6,1,9,0,608344.0,Cole Irvin,502043.0,Kyle Gibson,502043.0,608344.0,2681,Citizens Bank Park,day,R
662123,2022-04-09,2022,MIA,SF,146,137,2,1,3,0,9,0,641154.0,Pablo López,607074.0,Carlos Rodón,595345.0,459429.0,2395,Oracle Park,day,R
661332,2022-04-09,2022,BOS,NYY,111,147,2,4,6,1,9,0,601713.0,Nick Pivetta,622663.0,Luis Severino,476595.0,601713.0,3313,Yankee Stadium,day,R
662765,2022-04-09,2022,CLE,KC,114,118,0,1,1,1,10,1,668676.0,Zach Plesac,641745.0,Brad Keller,676092.0,661403.0,7,Kauffman Stadium,day,R
662588,2022-04-09,2022,NYM,WSH,121,120,5,0,5,0,9,0,605135.0,Chris Bassitt,672851.0,Joan Adon,605135.0,672851.0,3309,Nationals Park,night,R
661575,2022-04-09,2022,CIN,ATL,113,144,1,2,3,1,9,0,661269.0,Vladimir Gutierrez,657140.0,Kyle Wright,657140.0,661269.0,4705,Truist Park,night,R
662931,2022-04-10,2022,LAD,COL,119,115,2,3,5,1,9,0,664062.0,Tony Gonsolin,608566.0,Germán Márquez,608032.0,595014.0,19,Coors Field,night,R
663404,2022-04-10,2022,SD,ARI,135,109,5,2,7,0,9,0,605397.0,Joe Musgrove,605200.0,Zach Davies,621051.0,453178.0,15,Chase Field,night,R
661040,2022-04-10,2022,HOU,LAA,117,108,0,2,2,1,9,0,434378.0,Justin Verlander,592789.0,Noah Syndergaard,592789.0,434378.0,1,Angel Stadium,night,R
661129,2022-04-10,2022,OAK,PHI,133,143,4,1,5,0,9,0,641726.0,Daulton Jefferies,621107.0,Zach Eflin,641726.0,663559.0,2681,Citizens Bank Park,day,R
661916,2022-04-10,2022,BAL,TB,110,139,0,8,8,1,9,0,669330.0,Tyler Wells,446372.0,Corey Kluber,605488.0,669330.0,12,Tropicana Field,day,R
662887,2022-04-10,2022,CWS,DET,145,116,10,1,11,0,9,0,656629.0,Michael Kopech,669373.0,Tarik Skubal,605195.0,669373.0,2394,Comerica Park,day,R
662570,2022-04-10,2022,NYM,WSH,121,120,2,4,6,1,9,0,471911.0,Carlos Carrasco,607200.0,Erick Fedde,640448.0,592866.0,3309,Nationals Park,day,R
661573,2022-04-10,2022,CIN,ATL,113,144,6,3,9,0,9,0,668881.0,Hunter Greene,666120.0,Ian Anderson,668881.0,666120.0,4705,Truist Park,day,R
661802,2022-04-10,2022,TEX,TOR,140,141,12,6,18,0,9,0,675921.0,Spencer Howard,547943.0,Hyun Jin Ryu,656271.0,657240.0,14,Rogers Centre,day,R
662755,2022-04-10,2022,CLE,KC,114,118,17,3,20,0,9,0,615698.0,Cal Quantrill,663460.0,Kris Bubic,615698.0,663460.0,7,Kauffman Stadium,day,R
661738,2022-04-10,2022,SEA,MIN,136,142,4,10,14,1,9,0,594835.0,Marco Gonzales,641927.0,Bailey Ober,641927.0,594835.0,3312,Target Field,day,R
662019,2022-04-10,2022,PIT,STL,134,138,9,4,13,0,9,0,669060.0,Bryse Wilson,571927.0,Steven Matz,664337.0,571927.0,2889,Busch Stadium,day,R
663204,2022-04-10,2022,MIL,CHC,158,112,5,4,9,0,9,0,642547.0,Freddy Peralta,573186.0,Marcus Stroman,664776.0,596057.0,17,Wrigley Field,day,R
662934,2022-04-10,2022,LAD,COL,119,115,4,9,13,1,9,0,628711.0,Julio Urías,622608.0,Antonio Senzatela,468504.0,628711.0,19,Coors Field,day,R
662122,2022-04-10,2022,MIA,SF,146,137,2,3,5,1,9,0,669432.0,Trevor Rogers,543101.0,Anthony DeSclafani,606424.0,669432.0,2395,Oracle Park,day,R
661039,2022-04-10,2022,HOU,LAA,117,108,4,1,5,0,9,0,664353.0,José Urquidy,660761.0,José Suarez,664353.0,660761.0,1,Angel Stadium,day,R
663395,2022-04-10,2022,SD,ARI,135,109,10,5,15,0,9,0,605483.0,Blake Snell,592761.0,Caleb Smith,613534.0,592761.0,15,Chase Field,day,R
